,bin_centres,average_attention
0,5.25,5.084307426381192e-05
1,5.75,2.3351109505865676e-05
2,6.25,1.2839741048984707e-05
3,6.75,8.311782834986995e-06
4,7.25,6.2689557497759075e-06
5,7.75,5.570746252325534e-06
6,8.25,5.8991893676097615e-06
7,8.75,7.257581976595484e-06
8,9.25,1.0419162832408103e-05
9,9.75,1.7826394513174507e-05
10,10.25,1.2156615627100947e-05
11,10.75,8.072528710896185e-06
12,11.25,5.585155154850195e-06
13,11.75,3.568199153097681e-06
14,12.25,2.4436728440067858e-06
15,12.75,1.8495653609831367e-06
16,13.25,1.431608066497595e-06
17,13.75,1.1536887549730909e-06
18,14.25,9.563407171765512e-07
19,14.75,7.603095062422925e-07
20,15.25,6.408370584534552e-07
21,15.75,5.347979413698749e-07
22,16.25,4.405598315515796e-07
23,16.75,3.786215527877165e-07
24,17.25,3.226886648773809e-07
25,17.75,2.8671537428408767e-07
26,18.25,2.554128668806769e-07
27,18.75,2.171992948900625e-07
28,19.25,1.9184979692514475e-07
29,19.75,1.7702338221298367e-07
30,20.25,1.6311828869240153e-07
31,20.75,1.6264135716225517e-07
32,21.25,1.6738148608138822e-07
33,21.75,1.7512417305753897e-07
34,22.25,1.6929205556404278e-07
35,22.75,1.706875705564554e-07
36,23.25,1.82080216970505e-07
37,23.75,2.2625757971499896e-07
38,24.25,3.0463040422627917e-07
39,24.75,5.005879171022703e-07
40,25.25,9.407907591923858e-07
41,25.75,1.5219149787457925e-06
42,26.25,2.0934532631017747e-06
43,26.75,2.5822765601565325e-06
44,27.25,3.1272648206189773e-06
45,27.75,3.98339657071595e-06
46,28.25,5.467746291151815e-06
47,28.75,7.547750303683341e-06
48,29.25,9.549940209063414e-06
49,29.75,1.0690317855611958e-05
50,30.25,1.1374153474797415e-05
51,30.75,1.2613878693513909e-05
52,31.25,1.3856600779980649e-05
53,31.75,1.4333055165398364e-05
54,32.25,1.0471568358441262e-05
55,32.75,7.582059032850849e-06
56,33.25,5.481364743260185e-06
57,33.75,3.9312628173578164e-06
58,34.25,3.227084875233567e-06
59,34.75,2.6347642499319878e-06
60,35.25,1.8236875599470602e-06
61,35.75,1.0673803454946618e-06
62,36.25,4.943896735300845e-07
63,36.75,1.6936252292170297e-07
64,37.25,9.217146368166055e-08
65,37.75,6.632598664291983e-08
66,38.25,5.357761000300846e-08
67,38.75,4.9394430877163474e-08
68,39.25,4.91095539950556e-08
