,bin_centres,average_attention
0,5.25,0.012510710173156398
1,5.75,0.0022479245646565746
2,6.25,0.0010312866473487835
3,6.75,0.0006368713134579973
4,7.25,0.0004775269459953453
5,7.75,0.00040505731110143233
6,8.25,0.00036948279891525695
7,8.75,0.0003471553426458313
8,9.25,0.00032233888046670657
9,9.75,0.0002942327824659614
10,10.25,0.0002518491671770131
11,10.75,0.0002209726079260264
12,11.25,0.00019439739461172902
13,11.75,0.00017023305701291462
14,12.25,0.00014961032749496628
15,12.75,0.0001314016887129889
16,13.25,0.0001158644039356247
17,13.75,0.00010279256855057411
18,14.25,9.17511841123734e-05
19,14.75,8.23661989498629e-05
20,15.25,7.428703324035588e-05
21,15.75,6.721877885409273e-05
22,16.25,6.092195829894568e-05
23,16.75,5.528399262082264e-05
24,17.25,5.0198045051544936e-05
25,17.75,4.557226810789529e-05
26,18.25,4.131869586988433e-05
27,18.75,3.744358334151954e-05
28,19.25,3.3923397708258416e-05
29,19.75,3.0698048622094405e-05
30,20.25,2.7713821399322763e-05
31,20.75,2.49637366209346e-05
32,21.25,2.2425565663572403e-05
33,21.75,2.0136419144979346e-05
34,22.25,1.810109175749029e-05
35,22.75,1.628879084639882e-05
36,23.25,1.4736179093795914e-05
37,23.75,1.3414330796133892e-05
38,24.25,1.2328347233216221e-05
39,24.75,1.151190346026834e-05
40,25.25,1.0905462937979568e-05
41,25.75,1.0515912710273428e-05
42,26.25,1.033728642238575e-05
43,26.75,1.0364465280489304e-05
44,27.25,1.0563764323584047e-05
45,27.75,1.0901262243031077e-05
46,28.25,1.1287501872730378e-05
47,28.75,1.1619944770940512e-05
48,29.25,1.181688612947948e-05
49,29.75,1.182933116878873e-05
50,30.25,1.1562107766198084e-05
51,30.75,1.115047555996701e-05
52,31.25,1.0812846050864166e-05
53,31.75,1.0729675024401052e-05
54,32.25,1.0858267224443567e-05
55,32.75,1.1082583865733952e-05
56,33.25,1.1338485994244769e-05
57,33.75,1.1495982631733009e-05
58,34.25,1.1511758993947863e-05
59,34.75,1.1229309846306651e-05
60,35.25,1.0847171239940028e-05
61,35.75,1.0541254926209402e-05
62,36.25,1.028127519600627e-05
63,36.75,1.0143893609551042e-05
64,37.25,9.996630609357202e-06
65,37.75,9.960958506120414e-06
66,38.25,9.992432401708305e-06
67,38.75,1.006276234866871e-05
68,39.25,1.0123850024391494e-05
69,39.75,1.0148007561162969e-05
70,40.25,1.0123961107982345e-05
71,40.75,1.005614197092937e-05
72,41.25,9.911740821513925e-06
73,41.75,9.751833088615232e-06
74,42.25,9.585344241503765e-06
75,42.75,9.477752551681472e-06
76,43.25,9.344193456540842e-06
77,43.75,9.274075675174465e-06
78,44.25,9.177744549690185e-06
79,44.75,9.034832034812827e-06
80,45.25,8.889756217537975e-06
81,45.75,8.73660034059278e-06
82,46.25,8.617134343187607e-06
83,46.75,8.460163068369794e-06
84,47.25,8.277896797542521e-06
85,47.75,8.054616538422569e-06
86,48.25,7.79985911780995e-06
87,48.75,7.52353072269948e-06
88,49.25,7.226824827158583e-06
89,49.75,6.855143046000996e-06
90,50.25,6.483378388202693e-06
91,50.75,6.131789127833585e-06
92,51.25,5.72997981783077e-06
93,51.75,5.384436726478937e-06
94,52.25,5.097204093177546e-06
95,52.75,4.754962740886919e-06
96,53.25,4.461282432550405e-06
97,53.75,4.2641689750930275e-06
98,54.25,4.133420167167448e-06
99,54.75,4.0256609660604836e-06
100,55.25,3.883274414967301e-06
101,55.75,3.788101051406574e-06
