,bin_centres,average_attention
0,5.25,0.023219003671619026
1,5.75,0.0019806878673544054
2,6.25,0.0008080055952934859
3,6.75,0.00046191346816435786
4,7.25,0.0003146524347716009
5,7.75,0.00023700997676265833
6,8.25,0.00019028500952821125
7,8.75,0.00015780265053254568
8,9.25,0.00013113986010363765
9,9.75,0.00010731832199043711
10,10.25,8.668304183053662e-05
11,10.75,7.196353467507767e-05
12,11.25,5.9831237515364666e-05
13,11.75,4.9893819876692015e-05
14,12.25,4.202352516079018e-05
15,12.75,3.576805121475716e-05
16,13.25,3.087343434762482e-05
17,13.75,2.706732175091899e-05
18,14.25,2.4059631411044636e-05
19,14.75,2.163624132398007e-05
20,15.25,1.9643953708418453e-05
21,15.75,1.797476406681682e-05
22,16.25,1.654221182275223e-05
23,16.75,1.5268255444739536e-05
24,17.25,1.4091313162694874e-05
25,17.75,1.2949202550521698e-05
26,18.25,1.1853899721957822e-05
27,18.75,1.0808219572646652e-05
28,19.25,9.852393591470696e-06
29,19.75,8.951624165962633e-06
30,20.25,8.086031106270493e-06
31,20.75,7.264634139985081e-06
32,21.25,6.4950227870826825e-06
33,21.75,5.777394399194032e-06
34,22.25,5.118063361415833e-06
35,22.75,4.5283736566089e-06
36,23.25,4.017525928416858e-06
37,23.75,3.581830097220444e-06
38,24.25,3.2192902762912486e-06
39,24.75,2.9292065903005453e-06
40,25.25,2.7172248156189235e-06
41,25.75,2.575393246514405e-06
42,26.25,2.5001212503381608e-06
43,26.75,2.4850469227043414e-06
44,27.25,2.5326108914324212e-06
45,27.75,2.626683482900699e-06
46,28.25,2.7412154643323633e-06
47,28.75,2.843836239730216e-06
48,29.25,2.904688505233207e-06
49,29.75,2.9088213088498017e-06
50,30.25,2.8261899436805725e-06
51,30.75,2.7131173718962866e-06
52,31.25,2.6608886778719325e-06
53,31.75,4.7813273315540735e-06
54,32.25,0.0001181515881147506
55,32.75,5.33208759748298e-06
56,33.25,3.0832022611303296e-06
57,33.75,3.0815448040850573e-06
58,34.25,3.1544241180414947e-06
59,34.75,3.1581252357165226e-06
60,35.25,3.1979119299345453e-06
61,35.75,3.535580135699909e-06
62,36.25,5.283864626400546e-06
63,36.75,5.760293918457885e-05
64,37.25,0.00030387559654743553
65,37.75,0.0002575047391797734
66,38.25,0.00012588820337934776
67,38.75,7.634047195975439e-05
68,39.25,5.277694927488412e-05
69,39.75,3.633033904518069e-05
70,40.25,2.4477807535927863e-05
71,40.75,1.6800735844947788e-05
72,41.25,1.2206760759127184e-05
73,41.75,9.489801744896549e-06
74,42.25,8.046038035696209e-06
75,42.75,7.3149792177372886e-06
76,43.25,6.945251433363308e-06
77,43.75,6.817482560446142e-06
78,44.25,6.827665707085698e-06
79,44.75,6.967542117805583e-06
80,45.25,7.11545633420546e-06
81,45.75,7.318546643331529e-06
82,46.25,7.540981612722772e-06
83,46.75,7.778056742768427e-06
84,47.25,8.004769414962534e-06
85,47.75,8.097761151504559e-06
86,48.25,8.080634705236437e-06
87,48.75,7.936796109739514e-06
88,49.25,7.620475539177711e-06
89,49.75,7.183961852656479e-06
90,50.25,6.6790821548344244e-06
91,50.75,6.05274236900208e-06
92,51.25,5.453424216395434e-06
93,51.75,4.888957886140632e-06
94,52.25,4.446947844416969e-06
95,52.75,4.029361436744307e-06
96,53.25,3.6673803682825246e-06
97,53.75,3.406214803628522e-06
98,54.25,3.3657883908407294e-06
99,54.75,4.213800808252349e-06
100,55.25,3.780284150241515e-06
101,55.75,2.6897077502844995e-06
102,56.25,2.378846714781308e-06
103,56.75,2.1925413096416287e-06
104,57.25,2.011172281626742e-06
105,57.75,1.834983932081664e-06
106,58.25,1.6484672407160572e-06
107,58.75,1.4836872420126614e-06
108,59.25,1.3315286018730135e-06
109,59.75,1.1771416417961295e-06
110,60.25,1.0424212956624387e-06
111,60.75,9.345457433393224e-07
112,61.25,8.477753758532425e-07
113,61.75,7.763384521997747e-07
114,62.25,7.328632242145657e-07
115,62.75,7.105687140409492e-07
116,63.25,7.041686526665274e-07
117,63.75,7.23862159289974e-07
118,64.25,7.562805361983865e-07
119,64.75,8.120842142992417e-07
120,65.25,8.752504240601044e-07
121,65.75,9.464325352255849e-07
122,66.25,1.016176179237074e-06
123,66.75,1.0733614580061627e-06
124,67.25,1.1304557678133708e-06
125,67.75,1.1889635264097327e-06
126,68.25,1.2454232552177564e-06
127,68.75,1.2798537786942192e-06
128,69.25,1.3260822554864891e-06
129,69.75,1.3865541769581965e-06
130,70.25,1.4679507838858042e-06
131,70.75,1.6510832495520832e-06
132,71.25,2.0391746163761586e-06
133,71.75,2.9846552640675207e-06
134,72.25,4.435284102143145e-06
135,72.75,6.498703016448333e-06
136,73.25,1.0493753252455489e-05
137,73.75,1.7836851611613497e-05
138,74.25,2.7336115867675088e-05
139,74.75,3.919373807908879e-05
140,75.25,6.852793129005893e-05
141,75.75,0.0001565148648121835
142,76.25,0.00048719385563690505
143,76.75,0.0011015606306039151
144,77.25,0.0014143362680515232
145,77.75,0.0015238488922177447
146,78.25,0.000383918315801716
147,78.75,3.221369805571014e-05
148,79.25,1.1005276134899752e-05
149,79.75,9.795613450931114e-06
150,80.25,1.1762791313929588e-05
151,80.75,1.716862725082823e-05
152,81.25,3.304158108293047e-05
153,81.75,9.313779336530923e-05
154,82.25,0.0009668609955904009
155,82.75,0.001904305083955925
156,83.25,0.0004491440957311987
157,83.75,8.574707059778996e-05
158,84.25,2.6245434202830443e-05
159,84.75,1.9066572114577755e-05
160,85.25,2.672967328696278e-05
161,85.75,6.0312123298155995e-05
162,86.25,0.00015164054222270768
163,86.75,8.917552703724231e-05
164,87.25,5.2143455347417824e-05
165,87.75,7.212449315337923e-05
166,88.25,0.00019684917628775745
167,88.75,0.0007639268013116552
168,89.25,0.0011161849774043854
169,89.75,0.000780408900498042
170,90.25,0.0003868143499985468
171,90.75,0.0002384417292583238
172,91.25,0.00018162184459644676
173,91.75,0.00013313375747800278
174,92.25,8.47289547913216e-05
175,92.75,5.501874804835617e-05
176,93.25,3.7695322244195646e-05
177,93.75,2.4823671643218892e-05
178,94.25,1.6656367375840897e-05
179,94.75,1.0878347702312653e-05
180,95.25,7.554535278925467e-06
181,95.75,5.5168061328126486e-06
182,96.25,4.194022337519717e-06
